CID,SMILES
136067,C1=CN=CC2=C1C=NC=C2
136070,C1=CC2=C(C=CC=N2)N=C1
136071,C1=CC=C2C(=C1)OC=CO2
136084,C1=CN=CC2=NNN=C21
136085,C1=CC2=NNN=C2N=C1
136089,C1=CC2=NN=NN2C=C1
136173,C1=CC(=C(C=C1Cl)F)Cl
136241,C1=CN2C(=NC=N2)C=N1
136242,C1=C(C(=CC(=C1Cl)F)Cl)F
136243,C1=CSC(=C1)F
136284,C1=CC(=C(C(=C1)F)C=O)F
136313,C1=C(C=C(C=C1F)Br)F
136323,C=C1C=CC=C1
136328,C=C1C=CC(=O)C=C1
136436,C1(=O)NNC(=O)NN1
136476,C1(=C(C(=O)OC1=O)F)F
136504,C1=CN=CC=C1F
136519,C1=CC(=C(C=C1Cl)F)F
136599,C1=CC2=NC=CN2N=C1
136605,C1(=C(N=C(N=C1F)F)F)F
136793,C1=CSC=CC1=O
136883,C1=COC=CC1=S
136994,B12C=CC=CN1C=CC=C2
137000,C1=C(C=C(C=C1F)Cl)F
137001,C1=CC(=C(C=C1F)F)Cl
137004,C1=CC(=C(C=C1Br)F)Br
137183,C1(=C(C(=NC(=C1Cl)F)F)F)F
137275,C1=CC(=C(C=C1Cl)F)Br
137318,C1=CN2C(=CN=CC2=N1)Br
137520,C1=CC(=C(C(=C1)Cl)F)Cl
137541,C1=CSC(=O)S1
137561,C1=CC(=C(C=C1F)Cl)F
137563,C1=C(C(=C(C(=C1F)Cl)F)Cl)F
137653,C1=CC=C(C(=C1)NC=O)Cl
137682,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)F
137716,C1=CN=C(N=C1F)F
137717,C1=C(N=CN=C1F)F
137779,C1=CC1=O
137828,C1=C(C=C(C(=C1F)Cl)Cl)Cl
137856,C1=COC(=C1)Cl
137864,C=C1C(=C)C1=C
138208,C1=CC(=N)C=CC1=N
138442,C1=C(SN=C1)C=O
138446,C=C1C=CC1=C
138918,C1=CSS1
139000,C1=NNC(=N1)Br
139066,C1=CC=C2C(=C1)OC(=O)S2
139384,C1=C2C3=CSC=C3SC2=CS1
139405,C1=CC(=O)C=C1
140018,C1=NC(=C(N1)Cl)Cl
140019,C1=C(NC=N1)Cl
140204,C1=C(SC=C1Cl)Cl
140206,C1=C(C(=C(S1)Cl)Cl)Cl
140526,C1=C(C=C(C(=C1Cl)Br)Cl)Cl
141178,C1=CSC2=C1C=C(S2)Br
141179,C1=CSC2=C1C(=CS2)Br
141383,C1=CC2=CN=CC3=CC=C1N23
141624,C1=COC(=C1)C(=O)F
141643,C1=CN=C(N=C1)F
141992,C1=C(C=NN1)F
142093,C1=C(C=C(C(=C1Cl)F)Cl)Cl
142096,C1=CC(=C(C(=C1F)F)Cl)Cl
142257,C1=CC(=C(C(=C1)F)Cl)F
142400,C1=CC2=COC=C21
142959,C1=CN=C(C(=N1)F)F
143032,C1=C(SC2=C1C(=C(S2)Br)Br)Br
143170,C1=C(C=NC2=C1N=NS2)Cl
143381,C1=CC=C2C(=C1)C=NC(=N2)F
143576,C1=COC(=C1)C(=O)Br
143827,C1=NNC=NN1
143912,C=C1C(=C)OC(=O)O1
143918,C1=CC=C2C(=C1)SC(=O)S2
144834,C1=CC(=S)C=C1
144935,C1=CC=C2C(=C1)SS2
145037,C1=CC(=S)C=CC1=S
145600,C1=C(C=C(C=C1F)F)C(=O)Cl
146516,C(=O)C1=C(C(=O)NC(=O)N1)F
146693,C1=C(C=C(C(=O)C1=O)Cl)Cl
149424,C1=C(SC(=C1Cl)Cl)C=O
150576,C1=C(C(=O)OC1=C(Cl)Cl)Cl
151062,C1=CC(=O)C=CC1=N
151181,C1=CC(=O)C(=CC1=O)Br
151240,C1(=O)C(=NNC(=O)N1)Br
151811,C1=CC2=C(C=C1O)SC=N2
152300,C1=CC(=O)C2=C(C1=O)C=CN2
152784,C(=O)C1=C(C(=C(S1)Cl)Cl)Cl
154777,C1=CN=CC2=CN=NC(=C21)Cl
154867,C1=CC2=CN=NC(=C2N=C1)Cl
155321,C1=C(C(=C(N1)Br)Br)Br
155685,C1=CC2=C(O2)C(=C1)Br
160438,C1=CO1
162542,C1=CC2=NC(=O)N=C2C=C1
165106,C1=CC(=C(C=C1C=O)C=O)O
168129,C1=C2C(=CC(=C1Cl)Cl)SN=N2
173604,C1=CC(=C(C=C1C=O)Br)F
177593,C1=C(C(=CO1)Cl)Cl
177760,C1=CC(=C(C(=C1O)Cl)O)Cl
177847,C1=C(C(=CC(=C1F)F)O)O
178687,C1=C(C(=C(C(=C1Br)O)Cl)Br)Cl
179636,C1=C(C2=NON=C2C(=C1)Br)Br
181887,C=CC1=COC=C1
181975,C1=CC(=C(C=C1Cl)F)O
182052,C1=C(C(=O)OC1=CBr)Br
183421,C1=CC(=C(C=C1Br)O)F
184653,C1=CC=C2C(=C1)C=C(O2)Cl
184786,C1=CC(=C(C(=C1Cl)Cl)Cl)Br
185097,C1=NC2=NC=NC(=S)C2=N1
185548,C1=CC2=C(C=C1Cl)SN=N2
186114,C1=COC(=O)N1
188443,C1=CC2=C(C=C1Cl)SC(=O)N2
188444,C1=CC2=C(C=C1Br)SC(=O)N2
189378,C1=C(NC(=C(C1=O)Cl)Cl)Cl
189666,C1=C(C(=CC(=C1O)Cl)O)O
190291,C1=COC=C1O
191105,C1=NC1=N
192747,C1=CN=CC(=C1C=O)O
192912,C1(=O)NC(=O)N(C(=O)N1Br)Br
200605,C1=NC(=C(N1)Br)Br
210830,C1=CC=C2C(=C1)C(=O)NO2
219470,C1=CC2=CN=NN2C=C1
221095,C1=NNC2=C1C(=NC=N2)Cl
222951,C1=CSC2=C1C(=O)OC2=O
223087,C1=CC(=CC(=C1)Cl)F
223131,C1=CC2=C(C=C1Cl)NC(=O)N2
223326,C1=C(C(=CC(=C1Br)Br)O)O
224558,C1=CNC(=C1)C(=O)Cl
224933,C1=CC2=C(C=CN=C2)C(=C1)Cl
229771,C1=C2C(=NC=N1)NC(=O)N2
231427,C1=C2C(=NC=N1)N=C(N2)Cl
235698,C1=CC2=C(C=C1F)NC=N2
236181,C1=NNC(=O)C(=C1Br)Br
237259,C1=C(C(=NC(=N1)Cl)Cl)Cl
237870,C1=C(C=C(C2=C1NC=N2)F)F
237883,C1(=C(C(=O)OC(=C1Cl)Cl)Cl)Cl
239924,C1=C(NC(=O)N=C1Cl)Cl
240521,C1=C(C=C(C2=NNN=C21)F)F
241446,C1(=C(C(=O)NNC1=O)Cl)Cl
243601,C1=COC2=C(O1)OC=CO2
248192,C1(=C(C(=O)NNC1=O)Br)Br
248640,C1=C2C(=NC(=N1)Cl)N=C(N2)Cl
249007,C1=NC(=C(C(=N1)Cl)Cl)Cl
249770,C1=CC2=NN=CN2C=C1
249775,C1=CC2=NN=C(N2C=C1)Cl
249778,C1=CN2C=NN=C2C=N1
250705,C1=C(C(=NC(=N1)Cl)Cl)F
251027,C1(=C(C(=NN=C1Br)Br)Cl)Cl
251028,C1(=C(C(=NN=C1Cl)Cl)Cl)Cl
251103,C1=CC(=C2C(=C1)OC(=O)S2)O
252828,C1=CC(=NNC1=O)Cl
254139,C1=C(C(=CC(=C1O)Br)Br)O
254942,C1=C(C(=O)NNC1=O)Br
255394,C1=C(C(=O)NC(=N1)Cl)F
255580,C1=CN=C(N=C1)NC=O
255799,C1=CC=C2C(=C1)C(=O)C=NN2
257704,C1(=C(OC(=O)O1)Cl)Cl
257705,C1=C(OC(=O)O1)Cl
258580,C1=C(N=C(N=C1Br)Br)Br
266330,C1=C(N=NS1)Br
266336,C1=C(SN=N1)C2=CSN=N2
266921,C1=NNC(=N1)NC=O
268460,C1=CC2=NNC(=C2C=C1Cl)Cl
269230,C1=CN2C(=NN=N2)C=N1
270899,C1=CC(=CC2=C1C=CN=N2)F
278398,C1=CN=CC2=C1C(=O)OC2=O
279243,C1=CN=C2C(=N1)NC(=O)N2
279250,C1(=O)C(=O)NC(=O)C(=O)N1
283846,C1=CN=C(C2=NNN=C21)Cl
286696,C1=CSC2=C1C(=O)NC=C2Br
287208,C1=CC2=C(C=C1F)NC(=O)O2
288746,C1=CNC(=O)C2=C1OC=C2
289926,C1=CC2=C(N=C1)SC=C2Br
289928,C1=CC2=C(N=C1)SC=C2
289973,C1=C(C(=NC(=N1)Cl)Cl)Br
290408,C(=O)C1=C(C(=O)NC(=O)N1)Br
292251,C1=C(C(=O)C(=CO1)Br)Br
292283,C1=CN2C=NC=C2C=N1
293730,C1=NC2=C(S1)NC(=O)NC2=O
294403,C1=CN2C(=CN=C2Cl)C=N1
294404,C1=CN2C(=C(N=C2Cl)Cl)C=N1
301328,C1=NN2C(=O)C(=O)NC2=N1
302231,C1=CC(=NN2C1=NN=N2)Cl
304590,C1=C(C(=O)NC(=O)N1)C=O
305682,C1=CC2=NSN=C2C(=C1Cl)Cl
305689,C1=CC2=NSN=C2C(=C1)Cl
305706,C(#N)C1=C(SN=C1Cl)Cl
308341,C1=CN2C=NC=C2C(=O)N1
310045,C1=CN=C2C(=C1Cl)C=NN2
312392,C1=NC(=C(N1)Cl)Br
312394,C1=C(SC(=N1)Br)Br
312395,C1(=NN=C(S1)Cl)Cl
313681,C1=CC2=C(C=CN=C2)C=C1Br
314552,C1=C(NC(=O)OC1=O)Br
315069,C1=CC(=O)OC1=C(Br)Br
315608,C1=C2C(=CS1)C(=O)OC2=O
319101,C=C1C=CC1=O
319582,C1=CC(=NC2=NSN=C21)Cl
319592,C1=C(N=C(C2=NSN=C21)Cl)Cl
323177,C1(=NNN=N1)Br
323534,C1=CN2C=NN=C2C(=C1)Cl
323910,C1=C(N=C(C2=NNN=C21)Cl)Cl
324434,C1=CC2=NN=C(N2C(=C1)Cl)Br
324440,C1=CC2=NN=CN2C(=C1)Cl
325192,C1=CC(=O)N2C=NNC2=C1
325202,C1=CN2C=NN=C2C(=O)N1
327951,C1=CC2=NC=C(N2C=C1)Br
328397,C1=C(NN=C1)NC=O
329949,C1=CSC2=NC(=CN21)Br
329950,C1=CSC2=NC(=C(N21)C=O)Cl
329951,C1=CSC2=NC(=C(N21)C=O)Br
331657,C1=CC2=C(N=C1)SC(=S)S2
333085,C1(=O)NC(=O)ON1
333703,C1=CC(=C2C=CNC2=C1)C=O
335473,C1=CC2=C(C=C1Cl)NC(=N2)Cl
336224,C1=C(N=CC(=N1)Cl)Cl
337339,C1=CSC2=NC(=C(N21)Br)Br
337341,C1=CSC2=NC=C(N21)C=O
340228,C1=NC2=NNC(=C2C(=N1)Cl)Br
342402,C1=CC2=NN=NN2NC1=O
342690,C1=CC2=C(N=C1)SSC2=O
344381,C1=CC=C2C(=C1)C=NC(=O)N2
345375,C1=C2C(=CC(=C1F)F)N=CN2
345554,C1=CC(=C(C(=C1)C=O)O)C=O
345817,C1=CC(=NC=C1Cl)F
346171,C1=CN2C=NN=C2N=C1
349391,C1=CN2C(=NN=N2)N=C1
351278,C1=CC(=CC2=C1C=CN2)F
351738,C1=CC2=C(C=C1Cl)SC=N2
352912,C1=C(NC(=O)NC1=O)F
353489,C1=NC(=O)NNC1=O
363823,C12=C(SC(=S)S1)SC(=S)S2
371577,C1=C2C(=CS1)SC(=S)S2
373755,C1=CSC2=C1N=NS2
390664,C1=COC=C2C1=CC=C2C=O
393037,C1=CC2=C(C=NN2)C(=C1)Cl
395859,C1=CC(=O)C2=C(SC(=C21)Cl)Cl
396933,C1=CC(=O)C2=CSC=C21
397152,C1=CC(=O)C2=CSC(=C21)Br
407223,C1(=N)N=NN=N1
417428,C1=C(C(=CC2=NNN=C21)Cl)Cl
417436,C1=CN=CC=C1C(=O)Cl
417875,C1=C(C(=O)NC=N1)O
418344,C1=NN=C2N1N=CS2
423738,C12=NNN=C1N=C(C(=N2)Cl)Cl
424170,C1=CC(=C(C=C1Cl)C=N)O
425889,C1=CC=NC(=C1)C=N
428002,C1(=O)NC(=O)SS1
428615,C1=C(C=C(C2=C1NC=N2)Cl)Cl
433791,C1(=O)N=NN=N1
